,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score
2656,ORE_GOLD_LEADZINC,00213,"Quantity of Gold produced,  Lead/Zinc",Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable Trade accounts and trade notes receivable         00213,28.1%
2657,CLOSE,00001,Stop screen for Back of interview if building is owned or leased by a PHA.,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,28.1%
2658,RCPT_COMSN_GSV_VAL,00103,Commissions and Fees: Selling Value,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,28.0%
2659,BENEFIT_PENSION_CON_PY,00401,Employer's Cost for defined contribution pension plans  Prior Year,statement of income beginning date   401 nan statement of income beginning date Statement of Income-- FROM date (YYYYMMDD)        00401,28.0%
2660,BENEFIT_LGL,00107,"Fringe Benefits, Legally Required",Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,28.0%
2661,CLASS_FUEL_PUBLIC_NO,00219,"Class of Customer,  Did this establishment have public-access fuel pumps?","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",28.0%
2662,COST7U2B0INT1,00103,"First Interview, Furnished, 0 Bedrms, Cost #7",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,28.0%
2663,EXPS_GRANTS_VAL,00306,"Contributions, Gifts, and Grants Paid",Trade Accounts & Trade Notes Payable 306 Trade Accounts and Trade Notes Payable Trade Accounts and Trade notes payable Trade accounts and trade notes payable            00306,28.0%
2664,PGM_TYPE1,00110,First Subsidy Program,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,28.0%
2665,RCPT_COMSN_AVGPCT,NDNET,Establishment's average commission rate earned,Weather Corporation Net Profit Change 1 - Increased a lot How did this corporation's net profit change compared to what was normal before nan,28.0%
2666,COST_FUEL_PY,NDNET,"Purchased fuels consumed for heat, power, or the generation of electricity,  Prior Year",Weather Corporation Net Profit Change 1 - Increased a lot How did this corporation's net profit change compared to what was normal before nan,27.9%
2667,RCPT_C_ST_OR,00216,"Construction Work by State,  Oregon",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,27.9%
2668,LOGIN_ID_CURR,00401,LOGIN_ID_CURR is the latest access ID and it will match LOGIN_ID if the record is the most recent for the SSCID,statement of income beginning date   401 nan statement of income beginning date Statement of Income-- FROM date (YYYYMMDD)        00401,27.9%
2669,RCPT_MOTR_OTH_WRTIN_TXT,00103,Analysis of Motor Carrier Operations: Specify all other,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,27.9%
2670,BUS_TECH_ADD_MFG_OTH,00221,"Other, describe:",All Other Non-current assets         221 All Other Non-current Assets All Other Non-current Assets All other noncurrent assets                       00221,27.8%
2671,PROP_MAR12_PHYS,00110,"Proprietor or Partner by Occupation, Doctors/Physicians - licensed practitioners having M.D. degree",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,27.8%
2672,EMP_MAR12_RN,00402,"Employment By Occupation, Registered nurses",statement of income ending date      402 nan staement of income ending date Statement of Income-- TO date (YYYYMMDD)          00402,27.8%
2673,COST5U2B0INT1,00325,"First Interview, Furnished, 0 Bedrms, Cost #5",Treasury Stock at Cost               325 treasury Stock at cost Treasury Stock Treasury stock at cost                            00325,27.8%
2674,RCPT_CUST_LOCTEL_BUS_PCT,00206,"Class of Customer: Fixed Local Telephony, Business",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,27.8%
2675,RCPT_CONTRACT_FOREIGN,00061,"Contract Work done by customer location,  Other foreign places",Number of Subsidiary corps Number of Subsidiary Corporations Number of Subsidiary Corporations How many domestic and foreign corporations are    00061,27.8%
2676,PROD_CLASS_DESC,00216,Description that corresponds to that NAPCS code being displayed (PROD_CLASS_CODE),Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,27.8%
2677,ORE_SILVER_LEADZINC,00101,"Quantity of Silver produced,  Lead/Zinc","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",27.7%
2678,NAICS_SECTOR,00210,Most recent BR NAICS sector,Other Sht Term Financial Investments 210 Other Short Term Financial Investments Other Short Term Financial Investments Other short-term financial investments            00210,27.7%
2679,STRTTYPE,00219,Street Type - Permit Street Type,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.7%
2680,PHYSLOC_ADDR_CITY_TXT,00207,Physical Address: City,St and Local Government Securities   207 State and Local Government Securities State and Local Government Securities St/local govt securities (due 1 yr or less)       00207,27.7%
2681,ORE_COPPER_LEADZINC,00219,"Quantity of Copper produced,  Lead/Zinc","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.7%
2682,BED2U4,00219,Total 2 bedrooms for Type 4,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.7%
2683,RCPT_PAT_IN_PCT,00101,Inpatient/Outpatient Revenue: Inpatient care services,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",27.7%
2684,RCPT_PVTHLTH_INS_VAL,00101,"Net patient revenues from private health insurance, including Medicare and Medicaid managed care plans","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",27.7%
2685,BUS_TECH_GUD_VEH_LSD,00219,Leased/rented,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.6%
2686,CONTACT_NAME,00001,Name of person to contact about the survey,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,27.6%
2687,ORE_LEADZINC_LEADZINC,00101,"Quantity of Lead/Zinc produced,  Lead/Zinc","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",27.6%
2688,HOURS_METAL_TOT,00022,"Steel Mill Department Worker Hours,  Total",EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,27.6%
2689,UNIT_IN_BLDG,00216,"Units age-restricted, 55 or older?",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,27.6%
2690,RCPT_FOOD_CNTRC_OTH_WRTIN,00302,"Contract Feeding,  Other write-in description",Short Term Loans (Commercial Paper)  302 Short Term Loans (Commercial Paper) Short Term Loans (Commercial Paper) Short-term loans -- Commercial paper              00302,27.6%
2691,PRCH_EXSOFT,00214,"Purchased prepackaged, custom-coded or vendor-customized software",Inventories                          214 Inventories Inventories Inventories                                       00214,27.5%
2692,GOVOWN_TYPE_LOCAL_ARCHIVE,00044,What was the level of government operating or controlling this establishment?,EI of company who owns EI of company who owns EI of company who owns Federal EI of Company that owns more than 50%     00044,27.5%
2693,COST1U2B0INT1,00103,"First Interview, Furnished, 0 Bedrms, Cost #1",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,27.5%
2694,HOURS_ROLL_PIPE,00022,"Steel Mill Department Worker Hours,  Pipe mills",EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,27.5%
2695,TOURIST_LAW,00206,Establishment operates under the Puerto Rico Tourist Incentive Act,Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,27.5%
2696,EMP_MAR12_RN_NP,00110,"Employment By Occupation, Registered nurses and nurse practitioners",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,27.5%
2697,COST10U2B0INT1,00103,"First Interview, Furnished, 0 Bedrms, Cost #10",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,27.5%
2698,COLLECTION_TXT,00094,"Identifier for including/excluding from COLLECTION operations Y= in COLLECTION, N= Removed from COLLECTION",EI for Deletion 4 EI for Deletion 4 EI for Deletion 4 nan,27.5%
2699,PREORDER_DELIVERY,00219,"Did this establishment offer preordering or delivery services by website, app, fax, phone, or other means?","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.5%
2700,EMP_MAR12_COMSYS,00110,"Employment By Occupation, Computer systems design, custom computer programming, and electronic data processing",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,27.4%
2701,CERT_NAME_TXT,CB117,Contact Information: Name,cb117 nan nan nan,27.4%
2702,FUNDS_DEV_YES,00210,Did this establishment receive funds for research and development?,Other Sht Term Financial Investments 210 Other Short Term Financial Investments Other Short Term Financial Investments Other short-term financial investments            00210,27.4%
2703,PAT_CARE_OTHER_PCT,00318,"Patient Care, Other, including health facility services, such as provisions of space and equipment, meals, nursing care, etc.",Long Term Debt - Other               318 Long Term Debt - Other Long Term Debt - Other Long-term debt -- Other loans                     00318,27.4%
2704,COST6U2B0INT1,00103,"First Interview, Furnished, 0 Bedrms, Cost #6",Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,27.4%
2705,HOURS_FOUND,00022,"Steel Mill Department Worker Hours, Foundry (iron or steel)",EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,27.4%
2706,BED1U3,00319,Total 1 bedrooms for Type 3,Long Term Debt - Other               319 Long Term Debt - Other Long Term Debt - Other Long-term debt -- Other loans                     00319,27.4%
2707,RCPT_C_ST_LA,00216,"Construction Work by State,  Louisiana",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,27.4%
2708,RCPT_C_ST_OK,00022,"Construction Work by State,  Oklahoma",EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,27.4%
2709,CLASS_MTHDRECV_PIPE,00213,"Class of Customer,  What is the primary method of receiving bulk liquid products?",Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable Trade accounts and trade notes receivable         00213,27.3%
2710,PHYSLOC_ADDR_STREET,00203,Physical Location Street Address,Time Deposits Outside the U.S.       203 Time Deposit Outside the U.S. Time deposits outside the US Deposits outisde the U.S.                         00203,27.3%
2711,LICENSED_MD_YES,00219,Is there a licensed M.D. or D.O. working at this establishment?,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.3%
2712,RCPT_MOTR_ELECT_PCT,00101,Analysis of Motor Carrier Operations: Electronic and precision instruments and motorized vehicles,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",27.3%
2713,ROOM_RENT_TRANSIENT,00107,"Accomodations,  Number of rooms, units, or quarters primarily rented as transient guestrooms or units",Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,27.3%
2714,CLNC_SEE_PERF_MNG,00001,Measures of Clinical Performance - Who sees your organization's measures of clinical performance - Managers?,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,27.3%
2715,PHYSLOC_ADDR_ZIP,00203,Physical Location ZIP Code,Time Deposits Outside the U.S.       203 Time Deposit Outside the U.S. Time deposits outside the US Deposits outisde the U.S.                         00203,27.2%
2716,BED2U3,00219,Total 2 bedrooms for Type 3,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.2%
2717,PHYSLOC_COUNTY,00203,Physical Location County,Time Deposits Outside the U.S.       203 Time Deposit Outside the U.S. Time deposits outside the US Deposits outisde the U.S.                         00203,27.2%
2718,RCPT_FOOD_CNTRC_REC,00219,"Contract Feeding,  Stadiums, clubs, and other recreation and amusement facilities","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.2%
2719,REPORTING_ID_INSTRUCTION,P3PAY,QSS specific instructions for an ID,PRIOR PRIOR PRIOR qt payroll from BR nan nan nan,27.2%
2720,FLRS,00219,Number of floors in building (SOC Data),"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.1%
2721,RCPT_CLIENT_S_HOSP,00001,"Class of Customer, Hospitals and other health care services",Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,27.1%
2722,MAIL_ADDR_STREET_TXT,00207,Mailing Street,St and Local Government Securities   207 State and Local Government Securities State and Local Government Securities St/local govt securities (due 1 yr or less)       00207,27.1%
2723,NO_ABSORB_SPEC,00320,Collect reason why no units were absorbed.,All Other noncurrent liabilities     320 All Other Non-current Liabilities All Other Noncurrent Liabilities All other noncurrent liabilities                  00320,27.1%
2724,EXPS_FUEL_VAL,00044,Purchased Fuels (Except Motor Fuels),EI of company who owns EI of company who owns EI of company who owns Federal EI of Company that owns more than 50%     00044,27.1%
2725,CLNC_SEE_PERF_NONMNG,00001,Measures of Clinical Performance - Who sees your organization's measures of clinical performance - Employees (non-managers)?,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,27.1%
2726,COST_CONTRACT_PY,P3PAY,Contract work done for you by others  Prior Year,PRIOR PRIOR PRIOR qt payroll from BR nan nan nan,27.1%
2727,COST_ELEC,00219,Purchased electricity,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.0%
2728,EXPS_ELEC_VAL,00219,Purchased Electricity,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.0%
2729,BED4U4,00219,Total 3 bedrooms for Type 4,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",27.0%
2730,EMP_MAR12_OPT,00110,"Employment By Occupation, Doctors of Optometry - licensed practitioners having O.D. degree",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,27.0%
2731,TOC_REPAIR_398,00051,Percent of Construction Work for Other Types of Construction Maintenance and Repair Work,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,27.0%
2732,PROP_MAR12_DENT,00110,"Proprietor or Partner by Occupation,  Dentists - licensed practitioners having D.M.D., D.D.S., or D.D.Sc. Degree",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,26.9%
2733,CLASS_TOURIST,00206,"Class of Customer,  Visiting tourists  (Include business travelers)",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,26.9%
2734,BLDRSTATE,00113,Builder state,Provision for income taxes (STATE)   113 Provision for Income Taxes (STATE) Provision for domestic income taxes (STATE) Provision for Income Taxes -- State               00113,26.9%
2735,PHYSLOC_LGL_STAT,00217,"Legal Boundary; City, town",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights Land and mineral rights                           00217,26.9%
2736,BED2U1,00219,Total 2 bedrooms for Type 1,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.9%
2737,RCPT_C_ST_WA,00219,"Construction Work by State,  Washington","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.9%
2738,FOOD_MEALPRICE_7TO10_ARCHIVE,00101,"Indicates the estimated average price per meal, excluding taxes and tip.","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",26.8%
2739,COST_CONTRACT,00041,Contract work done for you by others,Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,26.8%
2740,RCPT_C_ST_MO,00219,"Construction Work by State,  Missouri","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.8%
2741,PATREV_GOV_OTH,00113,"Patient Care Revenue:  All other Federal, State, or Local government programs",Provision for income taxes (STATE)   113 Provision for Income Taxes (STATE) Provision for domestic income taxes (STATE) Provision for Income Taxes -- State               00113,26.8%
2742,TELEMEDICINE_SER,00104,Receive Revenues from telemedicine services,Income (loss) from operations        104 Income (loss) from Operation Income (loss) from operations Income (Loss) from operations                     00104,26.8%
2743,EMP_MAR12_OSTEO,00107,"Employment By Occupation, Osteopathic physicians - licensed practitioners having D.O. degree",Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,26.8%
2744,BENEFIT_HEALTH_PY,P3PAY,Employer's cost for health insurance  Prior Year,PRIOR PRIOR PRIOR qt payroll from BR nan nan nan,26.8%
2745,RCPT_C_ST_UT,00217,"Construction Work by State,  Utah",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights Land and mineral rights                           00217,26.8%
2746,RCPT_C_ST_WV,00216,"Construction Work by State,  West Virginia",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,26.8%
2747,HANDHELD_DEVICE_YES,00101,Tablet or Handheld Device for Self-Service Table Orders,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",26.7%
2748,RESPTYPE,00081,"Respondent Type  _x000D_
1 = Builder_x000D_
2 = Owner_x000D_
3 = Site Visit_x000D_
4 = Agent",EI for Addition 1 EI for addition 1 EI for Addition 1 Federal EI of Addition 1                          00081,26.7%
2749,FORM_MAILED,DOCDE,Name of Form mailed,IRS Form nan nan nan,26.7%
2750,EMP_MAR12_DIET,00110,"Employment By Occupation, Dieticians",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,26.7%
2751,BED1U4,00219,Total 1 bedrooms for Type 4,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.7%
2752,BED4U3,00319,Total 3 bedrooms for Type 3,Long Term Debt - Other               319 Long Term Debt - Other Long Term Debt - Other Long-term debt -- Other loans                     00319,26.7%
2753,PAY_FORGE,00104,"Steel Mill Department Wages, Forging (presses, hammers, or upsetter), excluding manufacture of nuts, bolts, etc.",Income (loss) from operations        104 Income (loss) from Operation Income (loss) from operations Income (Loss) from operations                     00104,26.7%
2754,BED4U1,00219,Total 3 bedrooms for Type 1,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.7%
2755,INC_GAS,00110,Is Gas included in the rent/condo fee?,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,26.7%
2756,BENEFIT_OTH,00022,Employer's Cost for other benefits,EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,26.7%
2757,PROD_QTYSHIP_2009875000,00216,Quantity of extracted natural gas shipped (volumes adjusted to pressure base of 14.73 lb absolute at 60 degrees F),Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,26.7%
2758,RCPT_TELEMED_SLVR_DVAL,CB117,Telemedicine Remainder,cb117 nan nan nan,26.7%
2759,REPORTING_EXAMPLE_14,CB117,Awaiting Update,cb117 nan nan nan,26.6%
2760,OWNSTAT_RACE_OTHPACF_WRTIN,00041,The other Pacific Islander race(Race of majority ownership),Owned by another company-NO/YES Owned by another company - No/Yes Owned by another Company-No/Yes Owned by more than 50%                            00041,26.6%
2761,WATER_REUSE_YES_ARCHIVE,NDNET,Did this establishment recirculate or reuse any water?,Weather Corporation Net Profit Change 1 - Increased a lot How did this corporation's net profit change compared to what was normal before nan,26.6%
2762,ORE_LEADZINC_GOLD,00212,"Quantity of Lead/Zinc produced,  Gold",Other Trade Accounts                 212 Other Trade Accounts Other Trade Accounts Other trade accounts and trade notes receivable   00212,26.6%
2763,EXPS_CONTRACT_VAL,00103,Cost of contract work,Other Operating Cost and Expenses    103 nan Other Operating Cost and Expenses All other operating costs and expenses            00103,26.6%
2764,RCPT_ECOMM_TOYS_VAL,00044,Electronic Commerce (e-commerce) - Toys,EI of company who owns EI of company who owns EI of company who owns Federal EI of Company that owns more than 50%     00044,26.6%
2765,HOURS_FORGE,00110,"Steel Mill Department Worker Hours,  Forging (presses, hammers, or upsetter), excluding manufacture of nuts, bolts, etc.",NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,26.6%
2766,TOC_REPAIR_397,00051,Percent of Construction Work for Building Construction Maintenance and Repair Work,Own another company-YES/NO Own another company - Yes/No Own another Company-yes/no Does this corp own more than 50% of another       00051,26.6%
2767,BED4U2,00219,Total 3 bedrooms for Type 2,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.6%
2768,EMP_PAINT,00217,"Selected MetalWorking Employment,  Painting, lacquering, and enameling on metals",Land and Mineral rights              217 Land and Mineral Rights Land and Mineral Rights Land and mineral rights                           00217,26.6%
2769,ADDR_STREET,00207,Mailing Address Street,St and Local Government Securities   207 State and Local Government Securities State and Local Government Securities St/local govt securities (due 1 yr or less)       00207,26.5%
2770,RCPT_WORKCOMP_VAL,00115,Net patient revenues from government payers: Workers' Compensation,Net Income (loss)                    115 Net income (loss) Net Income (loss) Net Income (Loss)                                 00115,26.5%
2771,INC_SEWER,00110,Is Sewer included in the rent/condo fee?,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,26.5%
2772,BED2U2,00219,Total 2 bedrooms for Type 2,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.5%
2773,IA_PAPER_TYPOP_SELFDSG_45,00213,IA TYPOP Code - Export agent,Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable Trade accounts and trade notes receivable         00213,26.5%
2774,RCPT_CUST_SUBLIN_IND_PCT,00206,"Class of Customer: Subscriber Line Charges, Individual",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,26.5%
2775,CLNC_SEE_PERF_PUBL,00001,Measures of Clinical Performance - Who sees your organization's measures of clinical performance - On public display?,Is this your Company's Industry -YES/NO Is this your company's industry - yes/no Is this your company's industry - yes/no Does the industry description describe your       00001,26.5%
2776,RCPT_PAT_OUT_PCT,00107,Inpatient/Outpatient Revenue: Outpatient care services,Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,26.5%
2777,ROBOT_INDST_PRCH_NUM,00216,Robotics: Purchased,Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,26.4%
2778,PROP_MAR12_MTLHEALTH,00107,"Proprietor or Partner by Occupation, Licensed/certified mental health service providers, including psychiatric nurses, licensed social workers, counselors and marriage and family therapists; and other mental health service providers without M.D. or D.O. degree",Other recurring non-operating income 107 Other Recurring Non-operating Income Other Recurring Non-operating Income Other recurring nonoperating income               00107,26.4%
2779,CLASS_HOTEL,00206,"Class of Customer,  Hotels or other traveler accommodations",Commercial and Finance company Paper 206 Commercial and Finance Company paper of US issuers Commercial and Finance Company Paper of U.S. issuers Comm/finance co paper of US issuers               00206,26.4%
2780,ELEC_PRCH_KWH_NUM,00219,Electricity purchased,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.4%
2781,RCPT_C_ST_WY,00216,"Construction Work by State,  Wyoming",Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,26.4%
2782,FOOD_ELECTDEV_SVC,00101,"Did this establishment use electronic devices for self-service table orders and/or payment (for example, through the use of a restaurant-provided electronic device at the table)?","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",26.4%
2783,PAT_CARE_DIA_IND_PCT,00318,"Patient Care, Diagnostic imaging services paid by individuals, insurers, or government payers, such as Medicare and Medicaid",Long Term Debt - Other               318 Long Term Debt - Other Long Term Debt - Other Long-term debt -- Other loans                     00318,26.4%
2784,EMP_MAR12_SALES,00101,"Employment By Occupation, Sales employees (and support staff) selling directly to customers from this location","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",26.3%
2785,EMP_ELECTRO,00219,"Selected MetalWorking Employment,  Electroplating and other plating","Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.3%
2786,RCPT_C_ST_OH,P2PAY,"Construction Work by State,  Ohio",Prior Prior quarter payroll from BR nan nan nan,26.3%
2787,BED1U2,00219,Total 1 bedrooms for Type 2,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.3%
2788,ORE_LEADZINC_SILVER,00101,"Quantity of Lead/Zinc produced,  Silver","Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",26.2%
2789,INC_H2O,00110,Is Water included in the rent/condo fee?,NONOPERATING INCOME and EXPENSES     110 Nonoperating expenses and income Nonoperating Income and Expenses Nonoperating Income and Expenses                  00110,26.2%
2790,FGINFO_ZIP,CB119,Zipcode of F/G contact person,cb 119 for gen imp cb 119 for general imp nan nan,26.2%
2791,RCPT_MEDICAID_VAL,00115,Net patient revenues from government payers: Medicaid,Net Income (loss)                    115 Net income (loss) Net Income (loss) Net Income (Loss)                                 00115,26.2%
2792,RCPT_MEDICARE_VAL,00101,Net patient revenues from government payers: Medicare,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",26.2%
2793,RCPT_LNGTEL_VAL,00219,Total Fixed Long-Distance Telephony Revenue,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.2%
2794,RCPT_MOTR_PHARM_PCT,00216,Analysis of Motor Carrier Operations: Pharmaceutical and chemical products,Plant and Equipment                  216 Plant and Equipment Plant and Equipment Plant and equipment                               00216,26.2%
2795,PHYSLOC_ADDR_STREET_TXT,00219,Physical location Street,"Net Property Plant and Equipment     219 NET PPE Net PPE Net property, plant, and equipment                00219",26.2%
2796,RCPT_UFO_VAL,00034,Unfilled Orders Value,Discontinued Date Discontinued Date Discontinued Date Corporation Status of DISCONTINUED Date           00034,26.2%
2797,BENEFIT,00116,"Fringe Benefits, Total",Extraordinary Gains                  116 Extraordinary Gains Extraordinary Gains Extraordinary Gains (Losses)                      00116,26.1%
2798,FORM_MAILED,00213,Instrument initially assigned to the respondent to complete for the location.,Trade Accnts and Notes Receivable    213 Trade Accounts and Trade Notes Receivable Trade Accounts and Trade Notes Receivable Trade accounts and trade notes receivable         00213,26.1%
2799,MERCH_EST_NEW2_YES_ARCHIVE,NDNET,"Did this establishment sell ""new"" merchandise, excluding parts installed in repair work, in $$00?",Weather Corporation Net Profit Change 1 - Increased a lot How did this corporation's net profit change compared to what was normal before nan,26.1%
2800,EXPS_FRNG_BENEFIT_VAL,00022,Employer's Cost for Fringe Benefits,EI of corp Employer Identification Number Employer Identification Number Federal Employer Identification Number (EI)       00022,26.1%
2801,RCPT_OTH_GOVPROG_VAL,00101,Net patient revenues from government payers: All other government programs,"Sales Receipts and Operating Revenue-101 nan Sales , Receipts, and Operating Revenues Sales, Receipts and Operating Revenues            00101",26.1%
