,VariableNameA,VariableNameB,descriptionA,descriptionB,similarity_score,"data/ABS-MOPS Variables - December 11 2024.xlsm: Unique Name for Variable 
On upload, will verify with those already in database to ensure unique and alert to those that are not

NOTE: 
1) Variable Names should be all caps with no spaces
2) Variables can not end with _# or _## as those are reserved for handling of repeating persons."
2606,DIST_LRN_ONL_LIV_PCT,B_TRAINEXP_TOT,"Modes of Instruction, Online learning with live instructor",Amount spent on formal training programs ,30.8%,EXPS_TRAIN_VAL
2607,ANYCHANGE,CPSTR,Have there been any changes to the building since previous interview?,Total capital expenditures for research operations that went towards buildings and land improvement,30.8%,CAPEX_RSRCH_BUILD_VAL
2608,COST8U2B2INT4,B_RDEXP_DOM_MATERIALS,"Fourth Interview, Furnished, 2 Bedrms, Cost #8",Amount of domestic R&D costs going to materials and supplies,30.8%,EXPS_RD_DOM_MAT_VAL
2609,BED1U4,O4_NAME_TITLE,Total 1 bedrooms for Type 4,Name of fourth owner,30.8%,OWNER4_NAME
2610,BLDG_TYPE3,B_EXPCOST_BLDG,Third Type of Units in Building,R&D capital expenditures for buildings and land imp R&D capital expenditures for equipmentrovement,30.8%,CAPEX_RD_OPS_BLDG_VAL
2611,COST1U4B3INT2,B_RDEXP_DOM_EMPL,"Second Interview, Condo, 3 Bedrms, Cost #1","Amount of domestic R&D costs going to salaries, wages, and benefits",30.8%,EXPS_RD_DOM_EMP_VAL
2612,ROOM_RENT_RESIDE,B_OPEXPENSE ,"Accomodations,  Number of rooms, units, or quarters primarily rented as residential quarters or units (occupied as one's primary residence)",Total domestic operating expenses,30.8%,EXPS_TOT_VAL
2613,COST1U4B0INT2,B_RDEXP_DOM_EMPL,"Second Interview, Condo, 0 Bedrms, Cost #1","Amount of domestic R&D costs going to salaries, wages, and benefits",30.8%,EXPS_RD_DOM_EMP_VAL
2614,PROD_QTYPRD_RDGRAN_NONE,RESP_REMARKS,"None for the question: If MINE_HERE = 1, report the quantity of rough dimension granite (including gneiss, syenite, and diorite) mined at this mine or pit",Remarks about reported data,30.8%,REMARKS_WRTIN_TXT
2615,TRAILER_WOD_NUM,B_COOP,"Inventories:_x000D_
Trailers without drivers","Suppliers of equipment, materials, components, or software outside your business group ",30.8%,COOP_PARTNER_LOC_CHKBOX
2616,DIST_LRN_ONL_SELF_PCT,B_TRAINEXP_TOT,"Modes of Instruction, Online courses and self-paced study modules",Amount spent on formal training programs ,30.8%,EXPS_TRAIN_VAL
2617,SOMA_APPTDATE,WEMP,Appointment Date,Number of employees as of March 12th,30.8%,EMP_MAR12_NUM
2618,RCPT_C_ST_AZ,B_CONTRACTOUT_TYPE,"Construction Work by State,  Arizona",Type of companies that manufacturing was contracted out to ,30.8%,MAN_CONTRACTOUT_CHKBOX
2619,COST9U1B3INT1,EMPC,"First Interview, Unfurnished, 3 Bedrms, Cost #9",Number of contract employes working on research activities,30.7%,EMP_RSRCH_CONTRACT_NUM
2620,COST10U4B1INT4,B_RDEXP_DOM_EMPL,"Fourth Interview, Condo, 1 Bedrms, Cost #10","Amount of domestic R&D costs going to salaries, wages, and benefits",30.7%,EXPS_RD_DOM_EMP_VAL
2621,COST5U2B2INT4,B_RDEXP_DOM_MATERIALS,"Fourth Interview, Furnished, 2 Bedrms, Cost #5",Amount of domestic R&D costs going to materials and supplies,30.7%,EXPS_RD_DOM_MAT_VAL
2622,COST4U2B2INT4,EMPC,"Fourth Interview, Furnished, 2 Bedrms, Cost #4",Number of contract employes working on research activities,30.7%,EMP_RSRCH_CONTRACT_NUM
2623,COST7U1B3INT1,EMPC,"First Interview, Unfurnished, 3 Bedrms, Cost #7",Number of contract employes working on research activities,30.7%,EMP_RSRCH_CONTRACT_NUM
2624,COST8U2B0INT3,B_RDEXP_DOM_MATERIALS,"Third Interview, Furnished, 0 Bedrms, Cost #8",Amount of domestic R&D costs going to materials and supplies,30.7%,EXPS_RD_DOM_MAT_VAL
2625,COST7U1B1INT3,EMPC,"Third Interview, Unfurnished, 1 Bedrms, Cost #7",Number of contract employes working on research activities,30.7%,EMP_RSRCH_CONTRACT_NUM
2626,COST6U1B3INT1,EMPC,"First Interview, Unfurnished, 3 Bedrms, Cost #6",Number of contract employes working on research activities,30.7%,EMP_RSRCH_CONTRACT_NUM
2627,COST8U2B2INT2,B_RDEXP_DOM_MATERIALS,"Second Interview, Furnished, 2 Bedrms, Cost #8",Amount of domestic R&D costs going to materials and supplies,30.7%,EXPS_RD_DOM_MAT_VAL
2628,COST8U2B1INT4,B_RDEXP_DOM_MATERIALS,"Fourth Interview, Furnished, 1 Bedrms, Cost #8",Amount of domestic R&D costs going to materials and supplies,30.7%,EXPS_RD_DOM_MAT_VAL
2629,COST3U2B2INT4,B_RDEXP_DOM_MATERIALS,"Fourth Interview, Furnished, 2 Bedrms, Cost #3",Amount of domestic R&D costs going to materials and supplies,30.7%,EXPS_RD_DOM_MAT_VAL
2630,CURMCD,B_EMPNUM_RDFTE_TOTAL,Notes from HQ to FR,Full-time equivalent of the R&D employees,30.7%,EMP_FTE_RD_NUM
2631,COST2U2B2INT2,B_RDEXP_DOM_MATERIALS,"Second Interview, Furnished, 2 Bedrms, Cost #2",Amount of domestic R&D costs going to materials and supplies,30.7%,EXPS_RD_DOM_MAT_VAL
2632,COST10U2B1INT4,EMPC,"Fourth Interview, Furnished, 1 Bedrms, Cost #10",Number of contract employes working on research activities,30.7%,EMP_RSRCH_CONTRACT_NUM
2633,COST1U2B3INT3,B_RDEXP_DOM_MATERIALS,"Third Interview, Furnished, 3 Bedrms, Cost #1",Amount of domestic R&D costs going to materials and supplies,30.7%,EXPS_RD_DOM_MAT_VAL
2634,COST10U2B3INT3,B_RDEXP_DOM_MATERIALS,"Third Interview, Furnished, 3 Bedrms, Cost #10",Amount of domestic R&D costs going to materials and supplies,30.7%,EXPS_RD_DOM_MAT_VAL
2635,COST4U2B1INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 1 Bedrms, Cost #4",Amount of domestic R&D costs going to materials and supplies,30.7%,EXPS_RD_DOM_MAT_VAL
2636,COST1U4B2INT2,B_RDEXP_DOM_EMPL,"Second Interview, Condo, 2 Bedrms, Cost #1","Amount of domestic R&D costs going to salaries, wages, and benefits",30.7%,EXPS_RD_DOM_EMP_VAL
2637,COST1U4B2INT4,B_RDEXP_DOM_EMPL,"Fourth Interview, Condo, 2 Bedrms, Cost #1","Amount of domestic R&D costs going to salaries, wages, and benefits",30.7%,EXPS_RD_DOM_EMP_VAL
2638,COST6U1B2INT1,EMPC,"First Interview, Unfurnished, 2 Bedrms, Cost #6",Number of contract employes working on research activities,30.6%,EMP_RSRCH_CONTRACT_NUM
2639,COST1U2B0INT4,EMPC,"Fourth Interview, Furnished, 0 Bedrms, Cost #1",Number of contract employes working on research activities,30.6%,EMP_RSRCH_CONTRACT_NUM
2640,PERMIT_NUM,B_OWNERNUM,Permit Number,Number of owners of the business,30.6%,OWNER_NUM_STAT
2641,COST10U4B2INT2,B_RDEXP_DOM_EMPL,"Second Interview, Condo, 2 Bedrms, Cost #10","Amount of domestic R&D costs going to salaries, wages, and benefits",30.6%,EXPS_RD_DOM_EMP_VAL
2642,COST10U4B2INT4,B_RDEXP_DOM_EMPL,"Fourth Interview, Condo, 2 Bedrms, Cost #10","Amount of domestic R&D costs going to salaries, wages, and benefits",30.6%,EXPS_RD_DOM_EMP_VAL
2643,COST9U2B3INT4,B_RDEXP_DOM_MATERIALS,"Fourth Interview, Furnished, 3 Bedrms, Cost #9",Amount of domestic R&D costs going to materials and supplies,30.6%,EXPS_RD_DOM_MAT_VAL
2644,COST8U2B2INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 2 Bedrms, Cost #8",Amount of domestic R&D costs going to materials and supplies,30.6%,EXPS_RD_DOM_MAT_VAL
2645,COST7U2B0INT4,B_RDEXP_DOM_MATERIALS,"Fourth Interview, Furnished, 0 Bedrms, Cost #7",Amount of domestic R&D costs going to materials and supplies,30.6%,EXPS_RD_DOM_MAT_VAL
2646,COST7U1B0INT4,EMPC,"Fourth Interview, Unfurnished, 0 Bedrms, Cost #7",Number of contract employes working on research activities,30.6%,EMP_RSRCH_CONTRACT_NUM
2647,COST9U1B1INT3,EMPC,"Third Interview, Unfurnished, 1 Bedrms, Cost #9",Number of contract employes working on research activities,30.6%,EMP_RSRCH_CONTRACT_NUM
2648,COST2U1B0INT4,B_RDCOST_DOM_APPLD,"Fourth Interview, Unfurnished, 0 Bedrms, Cost #2",Domestic R&D performance costs for applied research,30.6%,EXPS_RD_US_APPLIED_VAL
2649,COST9U2B1INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 1 Bedrms, Cost #9",Amount of domestic R&D costs going to materials and supplies,30.6%,EXPS_RD_DOM_MAT_VAL
2650,COST6U1B1INT3,EMPC,"Third Interview, Unfurnished, 1 Bedrms, Cost #6",Number of contract employes working on research activities,30.6%,EMP_RSRCH_CONTRACT_NUM
2651,EXPS_REFUSE_VAL,B_CRDSRC,"Water, Sewer, Refuse Removal, and Other Utility Payments",Other sources of credit not listed,30.6%,CREDIT_SOURCES_CHKBOX
2652,PROD_QTYPRD_BLLCLY_NONE,NPRDFIELDWI,"None for the question: If MINE_HERE = 1, report the quantity of ball clay mined and/or basically prepared for transport at this mine or pit",Additional detail or clarification for question response,30.6%,EXPS_RSRCH_FLD_TOT_TXT
2653,PROJECT,B_ACTIVITYUFC_ENG ,Project name on Permit,Yes/No if foreign affiliated companies conducted engineering for this business,30.6%,AFFIL_NONUS_ENGINEER_STAT
2654,COST3U2B0INT2,B_RDEXP_DOM_MATERIALS,"Second Interview, Furnished, 0 Bedrms, Cost #3",Amount of domestic R&D costs going to materials and supplies,30.5%,EXPS_RD_DOM_MAT_VAL
2655,ORE_COPPER_SILVER,B_RDEXP_DOM_MATERIALS,"Quantity of Copper produced,  Silver",Amount of domestic R&D costs going to materials and supplies,30.5%,EXPS_RD_DOM_MAT_VAL
2656,COST3U2B0INT3,B_RDEXP_DOM_MATERIALS,"Third Interview, Furnished, 0 Bedrms, Cost #3",Amount of domestic R&D costs going to materials and supplies,30.5%,EXPS_RD_DOM_MAT_VAL
2657,COST9U2B3INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 3 Bedrms, Cost #9",Amount of domestic R&D costs going to materials and supplies,30.5%,EXPS_RD_DOM_MAT_VAL
2658,COST3U2B1INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 1 Bedrms, Cost #3",Amount of domestic R&D costs going to materials and supplies,30.5%,EXPS_RD_DOM_MAT_VAL
2659,COST10U4B0INT4,B_RDEXP_DOM_EMPL,"Fourth Interview, Condo, 0 Bedrms, Cost #10","Amount of domestic R&D costs going to salaries, wages, and benefits",30.5%,EXPS_RD_DOM_EMP_VAL
2660,COST9U1B3INT3,EMPC,"Third Interview, Unfurnished, 3 Bedrms, Cost #9",Number of contract employes working on research activities,30.5%,EMP_RSRCH_CONTRACT_NUM
2661,COST7U1B3INT3,EMPC,"Third Interview, Unfurnished, 3 Bedrms, Cost #7",Number of contract employes working on research activities,30.5%,EMP_RSRCH_CONTRACT_NUM
2662,COST1U4B0INT4,B_RDCOST_DOM_BASIC,"Fourth Interview, Condo, 0 Bedrms, Cost #1",Domestic R&D performance costs for basic research,30.5%,EXPS_RD_US_BASIC_VAL
2663,BED4U3,O3_NAME_TITLE,Total 3 bedrooms for Type 3,Name of third owner,30.5%,OWNER3_NAME
2664,COST4U2B3INT4,EMPC,"Fourth Interview, Furnished, 3 Bedrms, Cost #4",Number of contract employes working on research activities,30.5%,EMP_RSRCH_CONTRACT_NUM
2665,RCPT_PAT_IN_DVAL,B_INNOV_SERV,Inpatient Care Services,Whether the business introduced new or improved services,30.5%,NEW_IMPROVE_SERVICES_STAT
2666,COST2U1B2INT1,EMPC,"First Interview, Unfurnished, 2 Bedrms, Cost #2",Number of contract employes working on research activities,30.5%,EMP_RSRCH_CONTRACT_NUM
2667,COST5U2B1INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 1 Bedrms, Cost #5",Amount of domestic R&D costs going to materials and supplies,30.5%,EXPS_RD_DOM_MAT_VAL
2668,COST3U1B3INT3,EMPC,"Third Interview, Unfurnished, 3 Bedrms, Cost #3",Number of contract employes working on research activities,30.5%,EMP_RSRCH_CONTRACT_NUM
2669,COST4U2B3INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 3 Bedrms, Cost #4",Amount of domestic R&D costs going to materials and supplies,30.5%,EXPS_RD_DOM_MAT_VAL
2670,COST11U1B0INT4,EMPC,"Fourth Interview, Unfurnished, 0 Bedrms, Cost #11",Number of contract employes working on research activities,30.4%,EMP_RSRCH_CONTRACT_NUM
2671,GEO_CBSA,CPSTR,Core Based Metropolitan Statistical Area,Total capital expenditures for research operations that went towards buildings and land improvement,30.4%,CAPEX_RSRCH_BUILD_VAL
2672,COST5U2B3INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 3 Bedrms, Cost #5",Amount of domestic R&D costs going to materials and supplies,30.4%,EXPS_RD_DOM_MAT_VAL
2673,COST9U1B0INT4,EMPC,"Fourth Interview, Unfurnished, 0 Bedrms, Cost #9",Number of contract employes working on research activities,30.4%,EMP_RSRCH_CONTRACT_NUM
2674,COST9U1B2INT1,EMPC,"First Interview, Unfurnished, 2 Bedrms, Cost #9",Number of contract employes working on research activities,30.4%,EMP_RSRCH_CONTRACT_NUM
2675,COST11U1B3INT1,EMPC,"First Interview, Unfurnished, 3 Bedrms, Cost #11",Number of contract employes working on research activities,30.4%,EMP_RSRCH_CONTRACT_NUM
2676,COST3U1B2INT3,EMPC,"Third Interview, Unfurnished, 2 Bedrms, Cost #3",Number of contract employes working on research activities,30.4%,EMP_RSRCH_CONTRACT_NUM
2677,COST7U1B2INT1,EMPC,"First Interview, Unfurnished, 2 Bedrms, Cost #7",Number of contract employes working on research activities,30.4%,EMP_RSRCH_CONTRACT_NUM
2678,COST2U1B3INT3,EMPC,"Third Interview, Unfurnished, 3 Bedrms, Cost #2",Number of contract employes working on research activities,30.4%,EMP_RSRCH_CONTRACT_NUM
2679,OWNSTAT_OTH_WRTIN,O1_HISP_OTH_WIN,"Other - Describe race, for example, Hmong, Laotian, Thai, Pakistani, Cambodian, etc. write-in description","Another Hispanic, Latino, or Spanish origin not listed",30.4%,OWNER_ETHNICITY_WRTIN_TXT
2680,COST3U1B0INT4,EMPC,"Fourth Interview, Unfurnished, 0 Bedrms, Cost #3",Number of contract employes working on research activities,30.4%,EMP_RSRCH_CONTRACT_NUM
2681,COST4U2B0INT2,B_RDEXP_DOM_MATERIALS,"Second Interview, Furnished, 0 Bedrms, Cost #4",Amount of domestic R&D costs going to materials and supplies,30.4%,EXPS_RD_DOM_MAT_VAL
2682,ORE_GOLD_COPPER,B_RDEXP_DOM_MATERIALS,"Quantity of Gold produced,  Copper",Amount of domestic R&D costs going to materials and supplies,30.4%,EXPS_RD_DOM_MAT_VAL
2683,COST8U2B1INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 1 Bedrms, Cost #8",Amount of domestic R&D costs going to materials and supplies,30.4%,EXPS_RD_DOM_MAT_VAL
2684,COST12U1B1INT3,B_RDEXP_DOM_MATERIALS,"Third Interview, Unfurnished, 1 Bedrms, Cost #12",Amount of domestic R&D costs going to materials and supplies,30.4%,EXPS_RD_DOM_MAT_VAL
2685,COST6U1B1INT1,EMPC,"First Interview, Unfurnished, 1 Bedrms, Cost #6",Number of contract employes working on research activities,30.4%,EMP_RSRCH_CONTRACT_NUM
2686,COST6U1B3INT3,EMPC,"Third Interview, Unfurnished, 3 Bedrms, Cost #6",Number of contract employes working on research activities,30.4%,EMP_RSRCH_CONTRACT_NUM
2687,ORE_LEADZINC_COPPER,B_RDEXP_DOM_MATERIALS,"Quantity of Lead/Zinc produced,  Copper",Amount of domestic R&D costs going to materials and supplies,30.3%,EXPS_RD_DOM_MAT_VAL
2688,COST11U1B3INT3,EMPC,"Third Interview, Unfurnished, 3 Bedrms, Cost #11",Number of contract employes working on research activities,30.3%,EMP_RSRCH_CONTRACT_NUM
2689,COST7U1B1INT1,EMPC,"First Interview, Unfurnished, 1 Bedrms, Cost #7",Number of contract employes working on research activities,30.3%,EMP_RSRCH_CONTRACT_NUM
2690,COST6U1B0INT1,B_RDCOST_DOM_BASIC,"First Interview, Unfurnished, 0 Bedrms, Cost #6",Domestic R&D performance costs for basic research,30.3%,EXPS_RD_US_BASIC_VAL
2691,COST11U1B1INT3,EMPC,"Third Interview, Unfurnished, 1 Bedrms, Cost #11",Number of contract employes working on research activities,30.3%,EMP_RSRCH_CONTRACT_NUM
2692,COST12U1B3INT1,EMPC,"First Interview, Unfurnished, 3 Bedrms, Cost #12",Number of contract employes working on research activities,30.3%,EMP_RSRCH_CONTRACT_NUM
2693,FORM_MAILED,NPRDFIELDWI,Instrument initially assigned to the respondent to complete for the location.,Additional detail or clarification for question response,30.3%,EXPS_RSRCH_FLD_TOT_TXT
2694,COST3U2B3INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 3 Bedrms, Cost #3",Amount of domestic R&D costs going to materials and supplies,30.3%,EXPS_RD_DOM_MAT_VAL
2695,RCPT_NONTELEMED_DVAL,B_ACTIVITYUC_INFO ,Non-Telemedicine,Yes/No if domestic unaffiliated companies conducted information and communication tech services for this business,30.3%,UNAFFIL_US_INFOTEC_STAT
2696,COST8U2B3INT4,B_RDEXP_DOM_MATERIALS,"Fourth Interview, Furnished, 3 Bedrms, Cost #8",Amount of domestic R&D costs going to materials and supplies,30.3%,EXPS_RD_DOM_MAT_VAL
2697,PROD_QTYPRD_FELDSP_NONE,RESP_REMARKS,"None for the question: If MINE_HERE = 1, report the quantity of feldspar mined and/or basically prepared for transport at this mine or pit",Remarks about reported data,30.3%,REMARKS_WRTIN_TXT
2698,PROD_QTYPRD_OTHCLY_NONE,RESP_REMARKS,"None for the question: If MINE_HERE = 1, report the quantity of all other nonmetallic minerals (including natural abrasives, shell and native asphalt and bitumens) mined and/or beneficiated at this mine or pit",Remarks about reported data,30.3%,REMARKS_WRTIN_TXT
2699,COST7U2B0INT1,B_EMPNUM_UNPAID,"First Interview, Furnished, 0 Bedrms, Cost #7",Number of individuals who did work for the business but were unpaid,30.3%,EMP_UNPAID_NUM
2700,COST10U2B3INT2,B_RDEXP_DOM_MATERIALS,"Second Interview, Furnished, 3 Bedrms, Cost #10",Amount of domestic R&D costs going to materials and supplies,30.3%,EXPS_RD_DOM_MAT_VAL
2701,COST1U2B3INT2,B_RDEXP_DOM_MATERIALS,"Second Interview, Furnished, 3 Bedrms, Cost #1",Amount of domestic R&D costs going to materials and supplies,30.3%,EXPS_RD_DOM_MAT_VAL
2702,BPOID,O1_HISP,BPO ID - Code that uniquely identifies a building permit office within a state or PSU (for Non-Permit Listing).,"Whether the first owner is Hispanic, Latino, or Spanish",30.3%,OWNER_ETHNICITY_CODE
2703,COST3U2B3INT4,B_RDEXP_DOM_MATERIALS,"Fourth Interview, Furnished, 3 Bedrms, Cost #3",Amount of domestic R&D costs going to materials and supplies,30.2%,EXPS_RD_DOM_MAT_VAL
2704,COST2U1B0INT3,B_RDCOST_DOM_APPLD,"Third Interview, Unfurnished, 0 Bedrms, Cost #2",Domestic R&D performance costs for applied research,30.2%,EXPS_RD_US_APPLIED_VAL
2705,COST2U1B2INT3,EMPC,"Third Interview, Unfurnished, 2 Bedrms, Cost #2",Number of contract employes working on research activities,30.2%,EMP_RSRCH_CONTRACT_NUM
2706,COST6U1B2INT3,EMPC,"Third Interview, Unfurnished, 2 Bedrms, Cost #6",Number of contract employes working on research activities,30.2%,EMP_RSRCH_CONTRACT_NUM
2707,COST7U1B2INT3,EMPC,"Third Interview, Unfurnished, 2 Bedrms, Cost #7",Number of contract employes working on research activities,30.2%,EMP_RSRCH_CONTRACT_NUM
2708,COST10U2B1INT2,B_RDEXP_DOM_MATERIALS,"Second Interview, Furnished, 1 Bedrms, Cost #10",Amount of domestic R&D costs going to materials and supplies,30.2%,EXPS_RD_DOM_MAT_VAL
2709,COST9U1B2INT3,EMPC,"Third Interview, Unfurnished, 2 Bedrms, Cost #9",Number of contract employes working on research activities,30.2%,EMP_RSRCH_CONTRACT_NUM
2710,COST5U2B3INT4,B_RDEXP_DOM_MATERIALS,"Fourth Interview, Furnished, 3 Bedrms, Cost #5",Amount of domestic R&D costs going to materials and supplies,30.2%,EXPS_RD_DOM_MAT_VAL
2711,COST12U1B3INT3,EMPC,"Third Interview, Unfurnished, 3 Bedrms, Cost #12",Number of contract employes working on research activities,30.2%,EMP_RSRCH_CONTRACT_NUM
2712,QSS_OUT_OF_SCOPE_IND,B_FREQKPI,Indicator if a company is out-of-scope to QSS. Meaning can't correct the NAICS before mailout.,How frequently key performance indicators are monitored by this business,30.2%,KPI_MONITOR_FREQ_CODE
2713,COST6U1B0INT4,EMPC,"Fourth Interview, Unfurnished, 0 Bedrms, Cost #6",Number of contract employes working on research activities,30.2%,EMP_RSRCH_CONTRACT_NUM
2714,PERMBLOCK,B_OWNERNUM,Permit Block - Block Number of permit,Number of owners of the business,30.2%,OWNER_NUM_STAT
2715,TYPE,"RESP_PHONE_AREA_CODE
RESP_PHONE_PREFIX, RESP_PHONE_SUFFIX, ","Survey Unit Type  su,mu",Contact Information: Phone,30.2%,CERT_PHONE_NUM
2716,RCPT_C_ST_AR,B_CONTRACTOUT_TYPE,"Construction Work by State,  Arkansas",Type of companies that manufacturing was contracted out to ,30.2%,MAN_CONTRACTOUT_CHKBOX
2717,COST5U1B1INT3,EMPC,"Third Interview, Unfurnished, 1 Bedrms, Cost #5",Number of contract employes working on research activities,30.2%,EMP_RSRCH_CONTRACT_NUM
2718,COST10U2B2INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 2 Bedrms, Cost #10",Amount of domestic R&D costs going to materials and supplies,30.2%,EXPS_RD_DOM_MAT_VAL
2719,COST8U2B3INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 3 Bedrms, Cost #8",Amount of domestic R&D costs going to materials and supplies,30.2%,EXPS_RD_DOM_MAT_VAL
2720,COST10U4B3INT4,B_RDEXP_DOM_EMPL,"Fourth Interview, Condo, 3 Bedrms, Cost #10","Amount of domestic R&D costs going to salaries, wages, and benefits",30.2%,EXPS_RD_DOM_EMP_VAL
2721,BENEFIT_LGL,O1_REASON_FLEXIBLEHRS,"Fringe Benefits, Legally Required",Reason for owning business: Flexible hours,30.2%,OWNING_REASON_FLEXIBLEHRS_CODE
2722,RCPT_C_ST_MT,CPSTR,"Construction Work by State,  Montana",Total capital expenditures for research operations that went towards buildings and land improvement,30.2%,CAPEX_RSRCH_BUILD_VAL
2723,CLNC_USE_ELEC_RECORD,B_IMPROCESS_INFO,"Retail Health Clinics - Services Utilized,  Electronic health records - An electronic health record is an electronic version of a patient’s medical history and may include their date of birth/sex, medical history, medications, immunizations, etc.",Whether the business introduced new or improved methods for information and communication systems,30.1%,IMPROCESS_INFO_STAT
2724,COST8U1B1INT3,EMPC,"Third Interview, Unfurnished, 1 Bedrms, Cost #8",Number of contract employes working on research activities,30.1%,EMP_RSRCH_CONTRACT_NUM
2725,COST11U2B0INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 0 Bedrms, Cost #11",Amount of domestic R&D costs going to materials and supplies,30.1%,EXPS_RD_DOM_MAT_VAL
2726,COST4U1B0INT1,B_RDCOST_DOM_BASIC,"First Interview, Unfurnished, 0 Bedrms, Cost #4",Domestic R&D performance costs for basic research,30.1%,EXPS_RD_US_BASIC_VAL
2727,BPONAME,B_CRDSRC_OTHER_WIN,BPO/Segment Name - Name of the building permit office or NP segment,Write-in of what lenders the business applied for new credit with ,30.1%,CREDIT_SRCS_OTH_WRTIN_TXT
2728,PGM_TYPE,B_TYPS_WRKS,Program Type,Types of workers that were used by the business,30.1%,WRKR_TYPE_CHKBOX
2729,COST1U2B1INT2,B_RDEXP_DOM_MATERIALS,"Second Interview, Furnished, 1 Bedrms, Cost #1",Amount of domestic R&D costs going to materials and supplies,30.1%,EXPS_RD_DOM_MAT_VAL
2730,COST9U1B1INT1,EMPC,"First Interview, Unfurnished, 1 Bedrms, Cost #9",Number of contract employes working on research activities,30.1%,EMP_RSRCH_CONTRACT_NUM
2731,COST10U2B3INT4,EMPC,"Fourth Interview, Furnished, 3 Bedrms, Cost #10",Number of contract employes working on research activities,30.1%,EMP_RSRCH_CONTRACT_NUM
2732,COST11U1B0INT1,B_RDCOST_DOM_BASIC,"First Interview, Unfurnished, 0 Bedrms, Cost #11",Domestic R&D performance costs for basic research,30.1%,EXPS_RD_US_BASIC_VAL
2733,COST1U4B3INT4,B_RDEXP_DOM_EMPL,"Fourth Interview, Condo, 3 Bedrms, Cost #1","Amount of domestic R&D costs going to salaries, wages, and benefits",30.1%,EXPS_RD_DOM_EMP_VAL
2734,COST10U1B3INT1,EMPC,"First Interview, Unfurnished, 3 Bedrms, Cost #10",Number of contract employes working on research activities,30.1%,EMP_RSRCH_CONTRACT_NUM
2735,COST2U2B0INT1,B_RDEXP_DOM_MATERIALS,"First Interview, Furnished, 0 Bedrms, Cost #2",Amount of domestic R&D costs going to materials and supplies,30.1%,EXPS_RD_DOM_MAT_VAL
2736,COST10U2B2INT4,EMPC,"Fourth Interview, Furnished, 2 Bedrms, Cost #10",Number of contract employes working on research activities,30.1%,EMP_RSRCH_CONTRACT_NUM
2737,COST12U1B0INT3,WZOH_TOT,"Third Interview, Unfurnished, 0 Bedrms, Cost #12",Total amount of internal research funds by cost category,30.1%,EXPS_RSRCH_COST_TOT_DVAL
2738,COST12U1B0INT4,EMPC,"Fourth Interview, Unfurnished, 0 Bedrms, Cost #12",Number of contract employes working on research activities,30.0%,EMP_RSRCH_CONTRACT_NUM
2739,COST10U1B1INT3,EMPC,"Third Interview, Unfurnished, 1 Bedrms, Cost #10",Number of contract employes working on research activities,30.0%,EMP_RSRCH_CONTRACT_NUM
2740,COST2U2B0INT4,B_RDEXP_DOM_MATERIALS,"Fourth Interview, Furnished, 0 Bedrms, Cost #2",Amount of domestic R&D costs going to materials and supplies,30.0%,EXPS_RD_DOM_MAT_VAL
2741,EXPS_FRNG_BENEFIT_VAL,O1_REASON_INCOME,Fringe benefits,Reason for owning business: Opportunity for greater income,30.0%,OWNING_REASON_INCOME_CODE
2742,REMAINING_UNITS,B_RDJOB_TOTEMP_DOMESTIC,Remaining units within unit type,Total R&D employees by staff type,30.0%,EMP_MAR12_RD_TOT_DNUM
2743,COST10U1B3INT3,EMPC,"Third Interview, Unfurnished, 3 Bedrms, Cost #10",Number of contract employes working on research activities,30.0%,EMP_RSRCH_CONTRACT_NUM
2744,BENEFIT_VOL,O1_REASON_FLEXIBLEHRS,"Fringe Benefits,  Provided Voluntarily",Reason for owning business: Flexible hours,30.0%,OWNING_REASON_FLEXIBLEHRS_CODE
2745,COST8U1B3INT1,EMPC,"First Interview, Unfurnished, 3 Bedrms, Cost #8",Number of contract employes working on research activities,30.0%,EMP_RSRCH_CONTRACT_NUM
2746,PHYSLOC_ADDR_STREET,"
RESP_TITLE   ",Physical Location Street Address,Contact Information: Title,30.0%,CERT_TITLE_TXT
2747,COST1U1B0INT3,EMPC,"Third Interview, Unfurnished, 0 Bedrms, Cost #1",Number of contract employes working on research activities,30.0%,EMP_RSRCH_CONTRACT_NUM
2748,COST5U2B0INT2,B_RDEXP_DOM_MATERIALS,"Second Interview, Furnished, 0 Bedrms, Cost #5",Amount of domestic R&D costs going to materials and supplies,30.0%,EXPS_RD_DOM_MAT_VAL
