,MDR's Variable,Variable Source,MDR's Description,Source's Description,similarity_score,Cosine Score,Jaccard Score
2296,COST3U1B3INT4,00084,"Fourth Interview, Unfurnished, 3 Bedrms, Cost #3",EI for addition 4,22.56%,26.54%,0.00%
2297,COST5U2B2INT0,00105,"Initial Interview, Furnished, 2 Bedrms, Cost #5",Interest Expense,22.56%,26.54%,0.00%
2298,COST3U2B1INT4,00105,"Fourth Interview, Furnished, 1 Bedrms, Cost #3",Interest Expense,22.56%,26.55%,0.00%
2299,CLASS_DRYCLEAN,00218,True if drycleaning work (other than finish work) done at this location.,Accumulated Depreciation,22.56%,26.54%,0.00%
2300,COST9U2B0INT1,00105,"First Interview, Furnished, 0 Bedrms, Cost #9",Interest Expense,22.55%,26.53%,0.00%
2301,COST12U2B0INT0,00105,"Initial Interview, Furnished, 0 Bedrms, Cost #12",Interest Expense,22.55%,26.53%,0.00%
2302,COST4U3B3INT0,00105,"Initial Interview, Coop, 3 Bedrms, Cost #4",Interest Expense,22.55%,26.52%,0.00%
2303,COST8U2B3INT1,00105,"First Interview, Furnished, 3 Bedrms, Cost #8",Interest Expense,22.55%,26.53%,0.00%
2304,COST10U2B1INT1,00105,"First Interview, Furnished, 1 Bedrms, Cost #10",Interest Expense,22.55%,26.53%,0.00%
2305,COST10U4B0INT3,00105,"Third Interview, Condo, 0 Bedrms, Cost #10",Interest Expense,22.54%,26.52%,0.00%
2306,COST4U4B2INT0,00105,"Initial Interview, Condo, 2 Bedrms, Cost #4",Interest Expense,22.54%,26.52%,0.00%
2307,COST4U4B0INT4,00105,"Fourth Interview, Condo, 0 Bedrms, Cost #4",Interest Expense,22.54%,26.52%,0.00%
2308,COST7U2B3INT1,00105,"First Interview, Furnished, 3 Bedrms, Cost #7",Interest Expense,22.54%,26.51%,0.00%
2309,COST5U1B0INT4,00084,"Fourth Interview, Unfurnished, 0 Bedrms, Cost #5",EI for addition 4,22.53%,26.50%,0.00%
2310,CERT_WEBSITE_TXT,00031,Contact Information: Website,Corporation Status Active/Discontinued/Merged,22.52%,26.49%,0.00%
2311,COST6U2B3INT4,00084,"Fourth Interview, Furnished, 3 Bedrms, Cost #6",EI for addition 4,22.52%,26.50%,0.00%
2312,HOURS_ROLL_TIN,00216,"Steel Mill Department Worker Hours,  Tinmills",Plant and Equipment,22.52%,26.49%,0.00%
2313,COST8U4B3INT4,00084,"Fourth Interview, Condo, 3 Bedrms, Cost #8",EI for addition 4,22.52%,26.49%,0.00%
2314,EMP_MAR12_OPT,00001,"Employment By Occupation, Doctors of Optometry - licensed practitioners having O.D. degree",Is this your company's industry - yes/no,22.51%,26.48%,0.00%
2315,COST4U2B2INT1,00105,"First Interview, Furnished, 2 Bedrms, Cost #4",Interest Expense,22.51%,26.48%,0.00%
2316,COST7U4B3INT0,00105,"Initial Interview, Condo, 3 Bedrms, Cost #7",Interest Expense,22.51%,26.48%,0.00%
2317,COST2U2B1INT4,00084,"Fourth Interview, Furnished, 1 Bedrms, Cost #2",EI for addition 4,22.50%,26.47%,0.00%
2318,CONTACT_NAME,0122D,Name of person to contact about the survey,Census Use Only -- ADJ,22.50%,26.47%,0.00%
2319,COST10U4B2INT1,00105,"First Interview, Condo, 2 Bedrms, Cost #10",Interest Expense,22.49%,26.46%,0.00%
2320,COST9U2B3INT2,00105,"Second Interview, Furnished, 3 Bedrms, Cost #9",Interest Expense,22.49%,26.45%,0.00%
2321,COST8U2B0INT0,00105,"Initial Interview, Furnished, 0 Bedrms, Cost #8",Interest Expense,22.48%,26.45%,0.00%
2322,COST3U2B0INT4,00084,"Fourth Interview, Furnished, 0 Bedrms, Cost #3",EI for addition 4,22.48%,26.45%,0.00%
2323,COST11U2B3INT3,00105,"Third Interview, Furnished, 3 Bedrms, Cost #11",Interest Expense,22.48%,26.44%,0.00%
2324,COST8U1B2INT4,00084,"Fourth Interview, Unfurnished, 2 Bedrms, Cost #8",EI for addition 4,22.48%,26.45%,0.00%
2325,COST11U2B3INT2,00105,"Second Interview, Furnished, 3 Bedrms, Cost #11",Interest Expense,22.47%,26.44%,0.00%
2326,COST11U2B1INT3,00105,"Third Interview, Furnished, 1 Bedrms, Cost #11",Interest Expense,22.46%,26.43%,0.00%
2327,PRCH_EXSOFT,00034,"Purchased prepackaged, custom-coded or vendor-customized software",Discontinued Date,22.46%,26.43%,0.00%
2328,PAY_ROLL_PIPE,00216,"Steel Mill Department Wages, Pipe mills",Plant and Equipment,22.46%,26.42%,0.00%
2329,COST11U1B0INT4,00105,"Fourth Interview, Unfurnished, 0 Bedrms, Cost #11",Interest Expense,22.46%,26.42%,0.00%
2330,COST7U2B1INT1,00105,"First Interview, Furnished, 1 Bedrms, Cost #7",Interest Expense,22.45%,26.41%,0.00%
2331,COST2U2B1INT1,00105,"First Interview, Furnished, 1 Bedrms, Cost #2",Interest Expense,22.44%,26.40%,0.00%
2332,COST7U4B1INT4,00105,"Fourth Interview, Condo, 1 Bedrms, Cost #7",Interest Expense,22.43%,26.39%,0.00%
2333,COST4U4B1INT3,00105,"Third Interview, Condo, 1 Bedrms, Cost #4",Interest Expense,22.43%,26.39%,0.00%
2334,SURVEY_HRS_NUM,00021,Survey Completion Time,Closing date,22.43%,26.39%,0.00%
2335,COST8U4B1INT1,00105,"First Interview, Condo, 1 Bedrms, Cost #8",Interest Expense,22.43%,26.39%,0.00%
2336,COST1U3B3INT0,00105,"Initial Interview, Coop, 3 Bedrms, Cost #1",Interest Expense,22.42%,26.38%,0.00%
2337,COST8U4B3INT0,00105,"Initial Interview, Condo, 3 Bedrms, Cost #8",Interest Expense,22.42%,26.37%,0.00%
2338,COST1U2B1INT4,00105,"Fourth Interview, Furnished, 1 Bedrms, Cost #1",Interest Expense,22.42%,26.38%,0.00%
2339,COST3U2B3INT4,00105,"Fourth Interview, Furnished, 3 Bedrms, Cost #3",Interest Expense,22.42%,26.37%,0.00%
2340,COST1U4B1INT2,00105,"Second Interview, Condo, 1 Bedrms, Cost #1",Interest Expense,22.41%,26.36%,0.00%
2341,COST10U2B1INT4,00105,"Fourth Interview, Furnished, 1 Bedrms, Cost #10",Interest Expense,22.41%,26.36%,0.00%
2342,COST4U4B1INT2,00105,"Second Interview, Condo, 1 Bedrms, Cost #4",Interest Expense,22.40%,26.36%,0.00%
2343,COST5U2B0INT4,00084,"Fourth Interview, Furnished, 0 Bedrms, Cost #5",EI for addition 4,22.40%,26.36%,0.00%
2344,COST1U4B2INT4,00105,"Fourth Interview, Condo, 2 Bedrms, Cost #1",Interest Expense,22.40%,26.36%,0.00%
2345,COST10U4B3INT4,00105,"Fourth Interview, Condo, 3 Bedrms, Cost #10",Interest Expense,22.40%,26.36%,0.00%
2346,COST2U1B3INT3,00083,"Third Interview, Unfurnished, 3 Bedrms, Cost #2",EI for addition 3,22.40%,26.35%,0.00%
2347,COST1U2B0INT4,00084,"Fourth Interview, Furnished, 0 Bedrms, Cost #1",EI for addition 4,22.39%,26.34%,0.00%
2348,COST2U4B3INT0,00105,"Initial Interview, Condo, 3 Bedrms, Cost #2",Interest Expense,22.39%,26.34%,0.00%
2349,COST5U4B1INT1,00105,"First Interview, Condo, 1 Bedrms, Cost #5",Interest Expense,22.39%,26.34%,0.00%
2350,CLASS_LAUNDRY,00041,True if laundry work (other than finish work) is done at this location; false otherwise.,Owned by another company - No/Yes,22.39%,26.34%,0.00%
2351,COST12U4B0INT0,00105,"Initial Interview, Condo, 0 Bedrms, Cost #12",Interest Expense,22.38%,26.33%,0.00%
2352,COST7U3B0INT2,CB119,"Second Interview, Coop, 0 Bedrms, Cost #7",cb 119 for general imp,22.38%,26.33%,0.00%
2353,COST2U4B1INT4,00105,"Fourth Interview, Condo, 1 Bedrms, Cost #2",Interest Expense,22.38%,26.33%,0.00%
2354,COST8U3B3INT0,00105,"Initial Interview, Coop, 3 Bedrms, Cost #8",Interest Expense,22.37%,26.32%,0.00%
2355,COST6U2B0INT0,00105,"Initial Interview, Furnished, 0 Bedrms, Cost #6",Interest Expense,22.36%,26.30%,0.00%
2356,COST3U4B1INT3,00105,"Third Interview, Condo, 1 Bedrms, Cost #3",Interest Expense,22.35%,26.29%,0.00%
2357,COST3U1B3INT3,00083,"Third Interview, Unfurnished, 3 Bedrms, Cost #3",EI for addition 3,22.35%,26.30%,0.00%
2358,AFFIL_SPL_ADDR_ZIP,00061,"Added child establishment,  ZIP Code",Number of Subsidiary Corporations,22.35%,26.29%,0.00%
2359,COST9U4B3INT4,00105,"Fourth Interview, Condo, 3 Bedrms, Cost #9",Interest Expense,22.35%,26.29%,0.00%
2360,COST11U4B0INT2,00105,"Second Interview, Condo, 0 Bedrms, Cost #11",Interest Expense,22.35%,26.30%,0.00%
2361,COST9U2B1INT2,00105,"Second Interview, Furnished, 1 Bedrms, Cost #9",Interest Expense,22.34%,26.28%,0.00%
2362,COST9U4B3INT1,00105,"First Interview, Condo, 3 Bedrms, Cost #9",Interest Expense,22.34%,26.28%,0.00%
2363,COST4U3B0INT1,00084,"First Interview, Coop, 0 Bedrms, Cost #4",EI for addition 4,22.34%,26.29%,0.00%
2364,COST6U2B1INT4,00084,"Fourth Interview, Furnished, 1 Bedrms, Cost #6",EI for addition 4,22.34%,26.29%,0.00%
2365,COST11U4B0INT1,00105,"First Interview, Condo, 0 Bedrms, Cost #11",Interest Expense,22.33%,26.27%,0.00%
2366,COST9U4B2INT1,00105,"First Interview, Condo, 2 Bedrms, Cost #9",Interest Expense,22.33%,26.27%,0.00%
2367,COST1U1B2INT4,00084,"Fourth Interview, Unfurnished, 2 Bedrms, Cost #1",EI for addition 4,22.33%,26.28%,0.00%
2368,COST12U1B2INT3,CB119,"Third Interview, Unfurnished, 2 Bedrms, Cost #12",cb 119 for general imp,22.33%,26.27%,0.00%
2369,COST10U2B2INT1,00105,"First Interview, Furnished, 2 Bedrms, Cost #10",Interest Expense,22.32%,26.25%,0.00%
2370,COST8U3B2INT0,00321,"Initial Interview, Coop, 2 Bedrms, Cost #8",Capital Stock and Other Capital,22.31%,26.24%,0.00%
2371,COST3U2B2INT4,00084,"Fourth Interview, Furnished, 2 Bedrms, Cost #3",EI for addition 4,22.31%,26.25%,0.00%
2372,FGINFO_ADDR1,00022,First address line of F/G contact person,Employer Identification Number,22.31%,26.24%,0.00%
2373,COST8U4B2INT4,00084,"Fourth Interview, Condo, 2 Bedrms, Cost #8",EI for addition 4,22.30%,26.24%,0.00%
2374,COST5U3B1INT3,00083,"Third Interview, Coop, 1 Bedrms, Cost #5",EI for addition 3,22.30%,26.24%,0.00%
2375,COST1U4B3INT0,00105,"Initial Interview, Condo, 3 Bedrms, Cost #1",Interest Expense,22.30%,26.24%,0.00%
2376,COST5U4B1INT4,00105,"Fourth Interview, Condo, 1 Bedrms, Cost #5",Interest Expense,22.29%,26.22%,0.00%
2377,ASKROW3,PACDE,Flag to determine of third row of COST variables needs to be asked,Size code directly related to (and derived from) total assets.,22.29%,26.22%,0.00%
2378,COST2U1B2INT4,00084,"Fourth Interview, Unfurnished, 2 Bedrms, Cost #2",EI for addition 4,22.29%,26.22%,0.00%
2379,COST10U4B0INT2,00105,"Second Interview, Condo, 0 Bedrms, Cost #10",Interest Expense,22.28%,26.21%,0.00%
2380,COST8U2B1INT1,00105,"First Interview, Furnished, 1 Bedrms, Cost #8",Interest Expense,22.28%,26.21%,0.00%
2381,EXT_DATE,00034,Survey Time Extension granted,Discontinued Date,22.28%,26.22%,0.00%
2382,COST3U2B0INT1,00105,"First Interview, Furnished, 0 Bedrms, Cost #3",Interest Expense,22.28%,26.21%,0.00%
2383,COST2U2B2INT1,00105,"First Interview, Furnished, 2 Bedrms, Cost #2",Interest Expense,22.26%,26.19%,0.00%
2384,COST9U4B2INT4,00105,"Fourth Interview, Condo, 2 Bedrms, Cost #9",Interest Expense,22.26%,26.19%,0.00%
2385,COST11U2B1INT2,00105,"Second Interview, Furnished, 1 Bedrms, Cost #11",Interest Expense,22.26%,26.19%,0.00%
2386,RCPT_TELEMED_SLVR_DVAL,00219,Telemedicine Remainder,NET PPE,22.26%,26.19%,0.00%
2387,COST10U2B2INT4,00105,"Fourth Interview, Furnished, 2 Bedrms, Cost #10",Interest Expense,22.25%,26.18%,0.00%
2388,COST6U1B3INT4,00084,"Fourth Interview, Unfurnished, 3 Bedrms, Cost #6",EI for addition 4,22.25%,26.18%,0.00%
2389,PATNT_CARE_WEIGHT,00216,"Patient Care Services Offered,  Weight management programs",Plant and Equipment,22.25%,26.18%,0.00%
2390,EMP_MAR12_PHYTHER,00022,"Employment By Occupation, Physical therapists",Employer Identification Number,22.24%,26.17%,0.00%
2391,COST3U4B0INT4,00105,"Fourth Interview, Condo, 0 Bedrms, Cost #3",Interest Expense,22.24%,26.17%,0.00%
2392,CLNC_CHSE_MEAS_OMNG,PACDE,Measures of Clinical Performance - Who chooses which measures of clinical performance to collect - Managers at other establishments and/or headquarters?,Size code directly related to (and derived from) total assets.,22.24%,26.16%,0.00%
2393,RCPT_CUST_LOCTEL_IND_PCT,00219,"Class of Customer: Fixed Local Telephony, Individual",NET PPE,22.23%,26.15%,0.00%
2394,COST3U4B1INT2,00105,"Second Interview, Condo, 1 Bedrms, Cost #3",Interest Expense,22.23%,26.15%,0.00%
2395,COST5U4B3INT0,00105,"Initial Interview, Condo, 3 Bedrms, Cost #5",Interest Expense,22.22%,26.14%,0.00%
2396,COST11U4B3INT2,00105,"Second Interview, Condo, 3 Bedrms, Cost #11",Interest Expense,22.22%,26.14%,0.00%
2397,PATNT_CARE_CHRONIC,00216,"Patient Care Services Offered,  Chronic disease screening, monitoring, and/or management for conditions, such as hypertension, diabetes, high cholesterol, and asthma",Plant and Equipment,22.22%,26.14%,0.00%
2398,COST10U4B2INT4,00105,"Fourth Interview, Condo, 2 Bedrms, Cost #10",Interest Expense,22.21%,26.12%,0.00%
2399,COST11U2B2INT3,00105,"Third Interview, Furnished, 2 Bedrms, Cost #11",Interest Expense,22.21%,26.13%,0.00%
2400,COST9U2B1INT3,00105,"Third Interview, Furnished, 1 Bedrms, Cost #9",Interest Expense,22.21%,26.13%,0.00%
2401,COST12U4B1INT4,00105,"Fourth Interview, Condo, 1 Bedrms, Cost #12",Interest Expense,22.19%,26.11%,0.00%
2402,COST3U4B3INT4,00105,"Fourth Interview, Condo, 3 Bedrms, Cost #3",Interest Expense,22.17%,26.08%,0.00%
2403,COST2U3B3INT0,00083,"Initial Interview, Coop, 3 Bedrms, Cost #2",EI for addition 3,22.17%,26.08%,0.00%
2404,COST9U2B3INT3,00105,"Third Interview, Furnished, 3 Bedrms, Cost #9",Interest Expense,22.16%,26.08%,0.00%
2405,COST6U3B3INT0,00105,"Initial Interview, Coop, 3 Bedrms, Cost #6",Interest Expense,22.16%,26.07%,0.00%
2406,COST11U2B0INT2,00105,"Second Interview, Furnished, 0 Bedrms, Cost #11",Interest Expense,22.15%,26.05%,0.00%
2407,COST1U1B3INT3,00083,"Third Interview, Unfurnished, 3 Bedrms, Cost #1",EI for addition 3,22.15%,26.06%,0.00%
2408,COST7U3B1INT1,00105,"First Interview, Coop, 1 Bedrms, Cost #7",Interest Expense,22.14%,26.04%,0.00%
2409,COST9U3B2INT1,00105,"First Interview, Coop, 2 Bedrms, Cost #9",Interest Expense,22.14%,26.05%,0.00%
2410,TYPOP_DESC_TXT,PACDE,Description of type of operation for location,Size code directly related to (and derived from) total assets.,22.13%,26.03%,0.00%
2411,COST3U4B3INT1,00105,"First Interview, Condo, 3 Bedrms, Cost #3",Interest Expense,22.13%,26.04%,0.00%
2412,EMP_MAR12_OSTEO,00022,"Employment By Occupation, Osteopathic physicians - licensed practitioners having D.O. degree",Employer Identification Number,22.13%,26.03%,0.00%
2413,COST5U2B0INT0,00105,"Initial Interview, Furnished, 0 Bedrms, Cost #5",Interest Expense,22.13%,26.03%,0.00%
2414,COST8U3B1INT1,00105,"First Interview, Coop, 1 Bedrms, Cost #8",Interest Expense,22.13%,26.04%,0.00%
2415,EMP_MAR12_MTLHEALTH,00022,"Employment By Occupation, Licensed/certified mental health service providers, including psychiatric nurses, licensed social workers, counselors and marriage and family therapists; and other mental health service providers without M.D. or D.O. degree",Employer Identification Number,22.13%,26.04%,0.00%
2416,COST6U4B3INT0,00105,"Initial Interview, Condo, 3 Bedrms, Cost #6",Interest Expense,22.12%,26.02%,0.00%
2417,COST8U4B2INT0,00105,"Initial Interview, Condo, 2 Bedrms, Cost #8",Interest Expense,22.12%,26.03%,0.00%
2418,COST12U1B1INT2,CB119,"Second Interview, Unfurnished, 1 Bedrms, Cost #12",cb 119 for general imp,22.12%,26.03%,0.00%
2419,COST8U1B1INT4,00084,"Fourth Interview, Unfurnished, 1 Bedrms, Cost #8",EI for addition 4,22.11%,26.01%,0.00%
2420,FOOD_SEATS,00061,"How many seats were in this establishment, including bar and patio seats?",Number of Subsidiary Corporations,22.11%,26.01%,0.00%
2421,COST7U4B2INT0,00105,"Initial Interview, Condo, 2 Bedrms, Cost #7",Interest Expense,22.10%,26.00%,0.00%
2422,INC_INTERNET,00105,Is Internet included in the rent/condo fee?,Interest Expense,22.10%,25.99%,0.00%
2423,EMP_MAR12_LSD_HEALTH,00001,Q1 LEASED EMPLOYMENT FOR HEALTH CARE CLIENTS,Is this your company's industry - yes/no,22.10%,26.00%,0.00%
2424,BUS_TECH_ADD_MFG_PUR,CB119,Purchased,cb 119 for general imp,22.09%,25.98%,0.00%
2425,COST12U2B0INT4,00105,"Fourth Interview, Furnished, 0 Bedrms, Cost #12",Interest Expense,22.09%,25.99%,0.00%
2426,PHYSLOC_ADDR_STREET,00022,Physical Location Street Address,Employer Identification Number,22.08%,25.97%,0.00%
2427,COST2U3B1INT0,00105,"Initial Interview, Coop, 1 Bedrms, Cost #2",Interest Expense,22.08%,25.98%,0.00%
2428,RCPT_CLIENT_U_OTH_WRTIN,00206,"Class of Customer, Other Utilities write-in description",Commercial and Finance Company paper of US issuers,22.08%,25.97%,0.00%
2429,COST10U2B0INT1,00105,"First Interview, Furnished, 0 Bedrms, Cost #10",Interest Expense,22.07%,25.97%,0.00%
2430,COST10U3B2INT0,00105,"Initial Interview, Coop, 2 Bedrms, Cost #10",Interest Expense,22.07%,25.97%,0.00%
2431,COST6U1B2INT4,00084,"Fourth Interview, Unfurnished, 2 Bedrms, Cost #6",EI for addition 4,22.06%,25.96%,0.00%
2432,COST3U4B2INT1,00105,"First Interview, Condo, 2 Bedrms, Cost #3",Interest Expense,22.06%,25.95%,0.00%
2433,COST1U2B3INT3,00105,"Third Interview, Furnished, 3 Bedrms, Cost #1",Interest Expense,22.06%,25.95%,0.00%
2434,COST3U4B3INT3,00083,"Third Interview, Condo, 3 Bedrms, Cost #3",EI for addition 3,22.06%,25.95%,0.00%
2435,COST3U1B2INT4,00084,"Fourth Interview, Unfurnished, 2 Bedrms, Cost #3",EI for addition 4,22.06%,25.95%,0.00%
2436,COST7U2B3INT4,00105,"Fourth Interview, Furnished, 3 Bedrms, Cost #7",Interest Expense,22.05%,25.94%,0.00%
2437,COST10U3B3INT1,00105,"First Interview, Coop, 3 Bedrms, Cost #10",Interest Expense,22.05%,25.94%,0.00%
2438,COST11U1B1INT4,CB119,"Fourth Interview, Unfurnished, 1 Bedrms, Cost #11",cb 119 for general imp,22.04%,25.93%,0.00%
2439,COST12U1B3INT3,CB119,"Third Interview, Unfurnished, 3 Bedrms, Cost #12",cb 119 for general imp,22.04%,25.92%,0.00%
2440,COST2U4B3INT4,00084,"Fourth Interview, Condo, 3 Bedrms, Cost #2",EI for addition 4,22.04%,25.93%,0.00%
2441,COST2U4B1INT1,00105,"First Interview, Condo, 1 Bedrms, Cost #2",Interest Expense,22.03%,25.91%,0.00%
2442,COST1U2B3INT2,00105,"Second Interview, Furnished, 3 Bedrms, Cost #1",Interest Expense,22.02%,25.91%,0.00%
2443,COST7U2B1INT4,00105,"Fourth Interview, Furnished, 1 Bedrms, Cost #7",Interest Expense,22.01%,25.89%,0.00%
2444,COST1U3B3INT1,00105,"First Interview, Coop, 3 Bedrms, Cost #1",Interest Expense,22.01%,25.90%,0.00%
2445,COST9U2B2INT2,00105,"Second Interview, Furnished, 2 Bedrms, Cost #9",Interest Expense,22.00%,25.88%,0.00%
2446,COST12U4B2INT0,00105,"Initial Interview, Condo, 2 Bedrms, Cost #12",Interest Expense,21.99%,25.87%,0.00%
2447,COST4U4B0INT0,00105,"Initial Interview, Condo, 0 Bedrms, Cost #4",Interest Expense,21.99%,25.87%,0.00%
2448,COST3U4B0INT0,00105,"Initial Interview, Condo, 0 Bedrms, Cost #3",Interest Expense,21.99%,25.88%,0.00%
2449,COST11U4B2INT2,00105,"Second Interview, Condo, 2 Bedrms, Cost #11",Interest Expense,21.99%,25.87%,0.00%
2450,COST2U1B1INT4,00084,"Fourth Interview, Unfurnished, 1 Bedrms, Cost #2",EI for addition 4,21.99%,25.87%,0.00%
2451,COST11U4B3INT3,00105,"Third Interview, Condo, 3 Bedrms, Cost #11",Interest Expense,21.98%,25.86%,0.00%
2452,COST1U1B1INT4,NDNET,"Fourth Interview, Unfurnished, 1 Bedrms, Cost #1",1 - Increased a lot,21.98%,25.86%,0.00%
2453,COST8U4B1INT2,00105,"Second Interview, Condo, 1 Bedrms, Cost #8",Interest Expense,21.98%,25.86%,0.00%
2454,COST4U3B3INT1,00105,"First Interview, Coop, 3 Bedrms, Cost #4",Interest Expense,21.98%,25.86%,0.00%
2455,CLNC_CHSE_MEAS_GOV,00211,Measures of Clinical Performance - Who chooses which measures of clinical performance to collect - Government regulators or agencies?,Trade Receivables from the U.S. Government,21.97%,24.08%,10.00%
2456,PAT_CARE_OUT_VISIT_PCT,00110,"Patient Care, Outpatient visits and consultations - evaluation and management services",Nonoperating expenses and income,21.97%,25.85%,0.00%
2457,CLASS_FUEL_PUBLIC_YES_ARCHIVE,00041,"Class of Customer,  Did this establishment have public-access fuel pumps?",Owned by another company - No/Yes,21.96%,25.83%,0.00%
2458,COST7U2B0INT4,00105,"Fourth Interview, Furnished, 0 Bedrms, Cost #7",Interest Expense,21.96%,25.84%,0.00%
2459,COST5U3B0INT2,00084,"Second Interview, Coop, 0 Bedrms, Cost #5",EI for addition 4,21.96%,25.83%,0.00%
2460,COST11U2B2INT2,00105,"Second Interview, Furnished, 2 Bedrms, Cost #11",Interest Expense,21.96%,25.84%,0.00%
2461,COST8U2B2INT1,00105,"First Interview, Furnished, 2 Bedrms, Cost #8",Interest Expense,21.96%,25.84%,0.00%
2462,COST_FUEL_NATGAS,00216,Natural gas and manufactured gas (propane),Plant and Equipment,21.95%,25.82%,0.00%
2463,COST5U2B2INT4,00084,"Fourth Interview, Furnished, 2 Bedrms, Cost #5",EI for addition 4,21.95%,25.82%,0.00%
2464,COST7U3B2INT3,CB119,"Third Interview, Coop, 2 Bedrms, Cost #7",cb 119 for general imp,21.95%,25.82%,0.00%
2465,COST12U2B3INT1,00105,"First Interview, Furnished, 3 Bedrms, Cost #12",Interest Expense,21.95%,25.83%,0.00%
2466,ADDR_STREET,00022,Mailing Address Street,Employer Identification Number,21.94%,25.81%,0.00%
2467,COST7U3B2INT2,CB119,"Second Interview, Coop, 2 Bedrms, Cost #7",cb 119 for general imp,21.94%,25.81%,0.00%
2468,COST8U4B1INT3,00105,"Third Interview, Condo, 1 Bedrms, Cost #8",Interest Expense,21.94%,25.81%,0.00%
2469,COST7U2B2INT1,00105,"First Interview, Furnished, 2 Bedrms, Cost #7",Interest Expense,21.94%,25.81%,0.00%
2470,COST9U2B2INT3,00105,"Third Interview, Furnished, 2 Bedrms, Cost #9",Interest Expense,21.93%,25.80%,0.00%
2471,COST7U3B3INT2,CB119,"Second Interview, Coop, 3 Bedrms, Cost #7",cb 119 for general imp,21.92%,25.79%,0.00%
2472,NAPCS_IND,00022,Indicator for the Product lines on ID,Employer Identification Number,21.92%,25.78%,0.00%
2473,COST8U4B0INT4,00105,"Fourth Interview, Condo, 0 Bedrms, Cost #8",Interest Expense,21.91%,25.77%,0.00%
2474,COST3U1B1INT4,00084,"Fourth Interview, Unfurnished, 1 Bedrms, Cost #3",EI for addition 4,21.91%,25.78%,0.00%
2475,COST5U2B3INT1,00105,"First Interview, Furnished, 3 Bedrms, Cost #5",Interest Expense,21.90%,25.77%,0.00%
2476,COST10U4B3INT2,00105,"Second Interview, Condo, 3 Bedrms, Cost #10",Interest Expense,21.90%,25.76%,0.00%
2477,COST4U4B3INT1,00105,"First Interview, Condo, 3 Bedrms, Cost #4",Interest Expense,21.90%,25.77%,0.00%
2478,COST6U2B3INT1,00105,"First Interview, Furnished, 3 Bedrms, Cost #6",Interest Expense,21.90%,25.76%,0.00%
2479,COST3U4B2INT4,00105,"Fourth Interview, Condo, 2 Bedrms, Cost #3",Interest Expense,21.90%,25.77%,0.00%
2480,COST12U4B1INT1,00105,"First Interview, Condo, 1 Bedrms, Cost #12",Interest Expense,21.89%,25.75%,0.00%
2481,COST7U4B0INT0,00105,"Initial Interview, Condo, 0 Bedrms, Cost #7",Interest Expense,21.89%,25.75%,0.00%
2482,COST9U4B3INT2,00105,"Second Interview, Condo, 3 Bedrms, Cost #9",Interest Expense,21.88%,25.74%,0.00%
2483,COST7U3B0INT0,00105,"Initial Interview, Coop, 0 Bedrms, Cost #7",Interest Expense,21.88%,25.74%,0.00%
2484,SMPCDE,00216,Sample maintenance code,Plant and Equipment,21.87%,25.73%,0.00%
2485,COST2U4B3INT3,00083,"Third Interview, Condo, 3 Bedrms, Cost #2",EI for addition 3,21.87%,25.73%,0.00%
2486,COST2U4B3INT1,00105,"First Interview, Condo, 3 Bedrms, Cost #2",Interest Expense,21.87%,25.73%,0.00%
2487,COST7U4B1INT3,00105,"Third Interview, Condo, 1 Bedrms, Cost #7",Interest Expense,21.87%,25.73%,0.00%
2488,COST9U2B0INT3,00105,"Third Interview, Furnished, 0 Bedrms, Cost #9",Interest Expense,21.87%,25.73%,0.00%
2489,COST7U4B0INT4,00105,"Fourth Interview, Condo, 0 Bedrms, Cost #7",Interest Expense,21.86%,25.72%,0.00%
2490,COST1U2B0INT1,00105,"First Interview, Furnished, 0 Bedrms, Cost #1",Interest Expense,21.86%,25.71%,0.00%
2491,COST6U1B1INT4,00084,"Fourth Interview, Unfurnished, 1 Bedrms, Cost #6",EI for addition 4,21.85%,25.70%,0.00%
2492,FORM_MAILED,00022,Name of Form mailed,Employer Identification Number,21.85%,25.71%,0.00%
2493,COST11U4B2INT3,00105,"Third Interview, Condo, 2 Bedrms, Cost #11",Interest Expense,21.85%,25.71%,0.00%
2494,COST5U4B0INT4,00105,"Fourth Interview, Condo, 0 Bedrms, Cost #5",Interest Expense,21.84%,25.70%,0.00%
2495,COST5U2B1INT1,00105,"First Interview, Furnished, 1 Bedrms, Cost #5",Interest Expense,21.84%,25.69%,0.00%
2496,COST6U3B2INT0,00321,"Initial Interview, Coop, 2 Bedrms, Cost #6",Capital Stock and Other Capital,21.84%,25.70%,0.00%
2497,COST9U2B0INT2,00105,"Second Interview, Furnished, 0 Bedrms, Cost #9",Interest Expense,21.83%,25.68%,0.00%
2498,COST4U3B2INT0,00105,"Initial Interview, Coop, 2 Bedrms, Cost #4",Interest Expense,21.82%,25.68%,0.00%
2499,COST2U2B3INT3,00083,"Third Interview, Furnished, 3 Bedrms, Cost #2",EI for addition 3,21.81%,25.66%,0.00%
2500,COST5U2B3INT4,00084,"Fourth Interview, Furnished, 3 Bedrms, Cost #5",EI for addition 4,21.81%,25.66%,0.00%
2501,COST3U1B0INT3,00083,"Third Interview, Unfurnished, 0 Bedrms, Cost #3",EI for addition 3,21.80%,25.65%,0.00%
2502,COST12U1B0INT3,CB119,"Third Interview, Unfurnished, 0 Bedrms, Cost #12",cb 119 for general imp,21.80%,25.65%,0.00%
